id,dayNumber,durationMinutes,attenuationRiskValue,initialRiskLevel,totalRiskValue,api_level,android_version,brand,model,user_id,timestamp,contact_date
3887,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
3901,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
3952,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
3965,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
4001,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
4033,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
4065,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 1:03,11/23/2020 0:00
4586,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4618,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4650,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4682,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4714,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4756,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4788,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4820,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4852,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4884,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4926,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
